Sl.No.,Brand,Name,Reviews Date Added,Reviews do Recommend,Reviews Num Helpful,Reviews Rating,Weight,Reviews Title,Reviews Text
26,Barefoot,Barefoot174 Refresh Perfectly Pink - 750ml Bottle,2018-01-10T05:58:03Z,TRUE,0,5,2.0 lbs,My New Fave!,"Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!"
27,Tecate,Tecate174 Beer - 12pk / 12oz Bottles,2018-01-10T18:59:18Z,TRUE,,5,15.0 lbs,,My favorite bottle design. The best cheap lager.
28,Bud Light,Bud Light174 Raz-Ber-Rita - 12pk / 8oz Cans,2018-01-10T23:41:49Z,TRUE,1,5,3.0 lbs,,Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.
29,California Roots,California Roots Cabernet Sauvignon Red Wine - 750ml,2018-01-09T21:14:07Z,TRUE,0,5,2.65 lbs,Who Can Say No To Awesome $5 Wine,"This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!"
30,Middle Sister,Middle Sister174 Red Blend - 750ml Bottle,2018-01-09T17:31:51Z,,0,5,1.0 lbs,Good Wine For Beginners...,Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.
31,Robert Mondavi Winery,Robert Mondavi Private Selection174 Bourbon Cabernet Sauvignon - 750ml Bottle,2018-01-10T05:58:02Z,TRUE,1,5,3.125 lbs,Fantastic Wine,This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.
32,Wine Cube153,Riesling - 3l Bottle - Wine Cube153,2018-01-10T18:06:27Z,TRUE,1,5,1.0 lbs,The Cube Riesling,Some of the best boxed wine I have ever tasted. Great taste and great value.
33,Risata,Risata174 Pink Moscato - 750ml Bottle,2018-01-10T05:58:02Z,TRUE,,5,1.0 lbs,Perfect For Summer,Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.
34,Middle Sister,Middle Sister174 Moscato - 750ml Bottle,2018-01-10T05:58:04Z,TRUE,0,4,1.0 lbs,We Loved It!,Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!
35,Love Noir,Love Noir174 Ros233 - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,2.0 lbs,Yum!,Great fruity dry rose!
36,Handsome Devil,Handsome Devil174 Malbec - 750ml Bottle,2018-01-09T17:31:50Z,TRUE,1,5,1.0 lbs,An Outstanding Table Wine,"Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf."
37,Apothic,Apothic174 White Blend - 750ml Bottle,2018-01-10T05:38:33Z,TRUE,,5,1.0 lbs,New Go To White,"Delicious white wine! Light, crisp, not too sweet. Almost too good."
38,Wine Cube153,Pinot Noir - 3l Bottle - Wine Cube153,2018-01-09T13:24:13Z,,0,1,1.0 lbs,No No No No No.... No,Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.
39,Love Noir,Love Noir174 Pinot Noir - 750ml Bottle,2018-01-10T05:58:03Z,TRUE,1,5,2.0 lbs,Love This Love Noir,"I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!"
40,Promisqous,Promisqous174 Red Blend - 750ml Bottle,2018-01-09T17:31:50Z,,0,5,1.0 lbs,Best Wine I Ever Tasted,Best wine I ever tasted
41,Wine Cube153,Chardonnay - 3l Bottle - Wine Cube153,2018-01-10T05:58:03Z,TRUE,1,5,1.0 lbs,Excellent Chardonnay,"not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality"
42,Wine Cube153,Red Blend - 500ml Bottle - Wine Cube153,2018-01-10T05:58:04Z,TRUE,1,5,0.06 lbs,Vintner's Red Boxed Wine,"Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!"
43,Wine Cube153,Sauvignon Blanc - 3l Bottle - Wine Cube153,2018-01-10T05:58:02Z,,0,5,1.0 lbs,Great Sauvignon Blanc Even Compared To Medium-Priced Bottles,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy."
44,Wine Cube153,Sauvignon Blanc - 3l Bottle - Wine Cube153,2017-09-06T03:49:11Z,,0,5,1.0 lbs,Great Sauvignon Blanc Even Compared To Medium-priced Bottles,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy."
45,California Roots,California Roots Chardonnay White Wine - 750ml,2018-01-09T13:19:50Z,,,2,2.65 lbs,,"Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didn't want to risk drinking it because of risk of glass shards. I've bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking."
46,California Roots,California Roots Chardonnay White Wine - 750ml,2017-11-19T10:27:27Z,TRUE,,4,2.65 lbs,Great Wine For The Price.,"I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper."
47,Wine Cube153,Red Blend - 3l Bottle - Wine Cube153,2018-01-10T18:06:27Z,TRUE,,5,1.0 lbs,Love It!,My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!
48,Disaronno,Disaronno174 Almond Liqueur - 750ml Bottle,2018-01-10T18:06:41Z,,1,4,1.0 lbs,Delicious!,I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.
49,Wine Cube153,Pinot Grigio - 500ml Bottle - Wine Cube153,2018-01-10T11:51:34Z,TRUE,,5,1.0 lbs,Great For The Price,I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...
50,California Roots,California Roots Red Blend Wine - 750ml,2018-01-08T13:11:21Z,TRUE,1,5,2.65 lbs,,"Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle."
51,Wine Cube153,Chardonnay - 1l Bottle - Wine Cube153,2017-11-22T08:59:16Z,TRUE,1,4,2.0 lbs,Pretty Good For Wine In A Box!,"For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good."
52,Fancy Pants,Fancy Pants174 Cabernet Sauvignon - 750ml Bottle,2017-08-30T16:24:46Z,TRUE,,5,1.0 lbs,This Wine Made My Party!,"I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish."
53,Beringer,Beringer174 Be. Flirty Pink Moscato - 750ml Bottle,2017-07-25T01:50:20Z,TRUE,,5,1.0 lbs,Tried The Past Type & It's My Favorite So This Should Be Great!,"I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays."
54,Fancy Pants,Fancy Pants174 Red Blend - 750ml Bottle,2017-12-06T23:39:17Z,,1,5,1.0 lbs,A Scrumptious Red!,"If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!"
55,Josh Cellars,Josh Cellars174 Ros233 - 750ml Bottle,2018-01-10T05:58:02Z,TRUE,,5,3.1 lbs,Refreshing Rose!,"This is a dry Rose, not sweet at all which is perfect for summer!"
56,Coppola,Sofia Rose 750ml Bottle,2018-01-09T17:31:50Z,TRUE,,5,1.0 lbs,Favorite Rosé,"A wonderful dry wine, and the taste is just divine!"
57,Coppola,Sofia Rose 750ml Bottle,2018-01-09T04:38:51Z,TRUE,,5,1.0 lbs,Favorite Ros��,"A wonderful dry wine, and the taste is just divine!"
58,Strongbow,Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles,2018-01-10T18:59:42Z,TRUE,,5,7.5 lbs,Now That's Cider,Been looking for Strongbow in the US for years
59,Spikedseltzer,Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans,2018-01-10T18:06:29Z,TRUE,,5,1.0 lbs,Refreshing,"Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice."
60,Truly Spiked Sparkling,Truly174 Colima Lime - 6pk / 12oz Bottles,2018-01-10T05:38:33Z,TRUE,1,5,1.0 lbs,Here Are The Reasons I Like Truly,"IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU."
61,Cupcake Vineyards,Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle,2018-01-09T17:31:51Z,,,5,1.0 lbs,"Best Cabernet I've Ever Tasted, Simple As That.","Best Cabernet I've ever tasted, simple as that."
62,Truly Spiked Sparkling,Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles,2018-01-10T18:06:41Z,TRUE,,5,1.0 lbs,I Love It!,so refreshing! LOVEIT!
63,Margaritaville,Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles,2018-01-10T18:06:42Z,TRUE,1,5,0.062 lbs,Deliciously Tangy,"This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :("
64,George Killian's,George Killian's174 Premium Irish Red - 6pk / 12oz Bottles,2018-01-10T18:59:18Z,,,4,31.1 lbs,Decent Beer For A Good Price,"I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance."
65,Entwine,Entwine174 Cabernet Sauvignon - 750ml Bottle,2017-08-07T02:27:54Z,,,5,1.0 lbs,Looked like a linear regulator from outside and no reviews on ...,"Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality."
66,La Marca,La Marca174 Prosecco - 750ml Bottle,2017-09-25T11:24:48Z,TRUE,1,5,1.0 lbs,Luv This Wine,"I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it."
67,Gallo,Alamos174 Malbec - 750ml Bottle,2018-01-10T05:38:30Z,TRUE,,5,1.0 lbs,,I served this at my baby shower and everyone went crazy over it. It's an inexpensive gem.
68,Bogle Vineyards,Bogle Vineyards174 Chardonnay - 750ml Bottle,2017-09-20T01:18:35Z,TRUE,0,5,1.0 lbs,delicious,This wine is full-bodied and delicious.
69,Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,2017-09-20T01:18:35Z,TRUE,,4,0.062 lbs,Great wine for price,Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.
70,Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,2017-09-20T01:18:35Z,FALSE,,1,0.062 lbs,Not worth the money!,Had a taste of either being old or spoiled. Stick with the bottle.
71,Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,2017-09-20T01:18:35Z,TRUE,,5,0.062 lbs,Nice Red,This is our go-to wine for dinner parties. Better than most of the 10 bottles.
72,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2018-01-10T11:51:07Z,,,5,1.0 lbs,Always Have Jb Original On Hand,"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice)."
73,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2018-01-03T04:55:22Z,,,5,1.0 lbs,Yumm,It goes great in apple cider
74,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-11-30T04:17:35Z,,,5,1.0 lbs,Always Consistent,"Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work."
75,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-11-20T22:26:30Z,,,5,1.0 lbs,A Drink That Stands Out; And Smooth As Well...,A true classic of spirits...
76,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-23T23:01:18Z,,,5,1.0 lbs,Perfect & Versatile,"I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!"
77,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,It is the first drink I check everytime,The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.
78,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Yes I would buy again,Best Drink you can get
79,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,4,1.0 lbs,very reasonally priced,to make manhattens
80,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,One fine bourbon,Best bourbon I have found...have toured distillery and love the brand..
81,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Red Stag stands alone,Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !
82,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Good taste,I like it with dr.peper to sip and relax
83,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,The only whiskey I drink,Better than the other's
84,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Priced right and great quality,Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.
85,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Best bourbon on earth.,I keep Jim Beam on hand every day of the week.
86,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,A Bourbon Legend,"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT"
87,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,I would buy this drink over and over.,It's does have a great toaste to it the only drink I'll drink.
88,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Smooth,I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!
89,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,smoothy,Best tasteing and defenetly the smoothest around I love it!
90,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,1.0 lbs,Always in my liquor cabinet,I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.
91,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,TRUE,,5,1.0 lbs,Best price,This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again
92,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,TRUE,,5,1.0 lbs,Great product,Best whiskey around and a price that can't be beat!!
93,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-02T07:00:09Z,,,4,1.0 lbs,Very Reasonally Priced,to make manhattens
94,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-07-25T01:33:44Z,,,5,1.0 lbs,One Fine Bourbon,Best bourbon I have found...have toured distillery and love the brand..
95,Yellow Tail,Yellow Tail174 Cabernet Sauvignon - 1.5l Bottle Bottle,2018-01-09T17:31:50Z,TRUE,,5,1.0 lbs,It Is A Good Wine,"I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!"
96,El Jimador,El Jimador174 Tequila Reposado - 750ml Bottle,2017-09-20T01:18:35Z,TRUE,0,5,0.06 lbs,Love,I always buy this item at Walmart cause they always have it at a Great Price
97,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2018-01-10T05:38:33Z,,,5,2.0 lbs,Awesome Bourbon,"As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!"
98,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2017-12-28T20:21:27Z,,,5,2.0 lbs,Love Basil Hayden's,Very tasty bourbon!
99,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2017-09-23T23:01:18Z,,,5,2.0 lbs,Flavorful With A Smooth Finish,Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.
100,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2017-09-12T05:01:11Z,,,5,2.0 lbs,Spirit Of Choice,Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.
101,Cook's California Champagne,Cook's174 Brut Champagne - 750ml Bottle,2017-09-20T01:18:35Z,TRUE,,5,1.0 lbs,Cooks Champagne,I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.
102,Menage A Trois,Menage A Trois174 Silk Red Blend - 750ml Bottle,2018-01-09T21:14:09Z,TRUE,1,5,3.119 lbs,Very Drinkable,"My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends."
103,Gallo,Barefoot174 Riesling - 1.5l Bottle Bottle,2018-01-10T05:58:03Z,TRUE,1,5,1.0 lbs,My Favourite Riesling,My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.
104,Davinci,Davinci174 Chianti - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,1,5,1.0 lbs,Love,Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.
105,Sauza,Hornitos Reposado Tequila - 750ml,2018-01-10T05:38:33Z,,,5,0.062 lbs,Excellente,Perfect sipping tequila ... chilled and neat !
106,Sauza,Hornitos Reposado Tequila - 750ml,2017-09-20T01:18:35Z,,,5,0.062 lbs,Excellente,Perfect sipping tequila ... chilled and neat !
107,Sauza,Hornitos Reposado Tequila - 750ml,2017-09-20T01:18:35Z,,,5,0.062 lbs,Solid tequila,"My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking."
108,Sauza,Hornitos Reposado Tequila - 750ml,2017-09-20T01:18:35Z,,,5,0.062 lbs,One of my favorite!,Straight over ice.
109,Pinnacle,Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,2018-01-10T05:38:33Z,,,5,1.0 lbs,Amazing Drink,My drink of choice when I really want to enjoy my time alone.
